unit_id,property_name,owner,size_sqm,monthly_hausgeld,monthly_ruecklage,total_monthly,last_updated,status,review_flag,review_reason
101,Musterstraße 1,Hans Müller,65.5,285.00,95.00,380.00,2024-01-01,active,False,
102,Musterstraße 1,Maria Schmidt,48.0,210.00,70.00,280.00,2024-01-01,active,False,
103,Musterstraße 1,Peter Wagner,72.3,315.00,105.00,420.00,2024-01-01,active,False,
104,Musterstraße 1,Anna Fischer,55.0,240.00,80.00,320.00,2024-01-01,active,False,
105,Musterstraße 1,Klaus Weber,90.0,392.00,131.00,523.00,2024-01-01,active,False,
201,Berliner Allee 20,Sophie Meyer,60.0,265.00,88.00,353.00,2024-01-01,active,False,
202,Berliner Allee 20,Thomas Becker,45.5,200.00,67.00,267.00,2024-01-01,active,False,
203,Berliner Allee 20,Laura Hoffmann,80.0,350.00,117.00,467.00,2024-01-01,active,False,
204,Berliner Allee 20,Michael Schulz,55.5,243.00,81.00,324.00,2024-01-01,active,False,
205,Berliner Allee 20,Julia Koch,70.0,306.00,102.00,408.00,2024-01-01,active,False,
301,Kastanienweg 7,Frank Richter,58.0,255.00,85.00,340.00,2024-01-01,active,False,
302,Kastanienweg 7,Sabine Klein,42.0,185.00,62.00,247.00,2024-01-01,active,False,
303,Kastanienweg 7,Werner Wolf,95.0,415.00,138.00,553.00,2024-01-01,active,False,
304,Kastanienweg 7,Ingrid Braun,63.0,276.00,92.00,368.00,2024-01-01,active,False,
305,Kastanienweg 7,Rolf Schwarz,50.0,220.00,73.00,293.00,2024-01-01,active,False,
401,Prenzlauer Berg 14,Gisela Zimmermann,67.0,293.00,98.00,391.00,2024-01-01,active,False,
402,Prenzlauer Berg 14,Dieter Krüger,52.5,230.00,77.00,307.00,2024-01-01,active,False,
403,Prenzlauer Berg 14,Helga Hartmann,78.0,341.00,114.00,455.00,2024-01-01,active,False,
404,Prenzlauer Berg 14,Manfred Lange,44.0,193.00,64.00,257.00,2024-01-01,active,False,
405,Prenzlauer Berg 14,Ursula Schmitt,85.0,371.00,124.00,495.00,2024-01-01,active,False,
