Owner_Street,Unit,actual_payment,payment_date
Alfred Rosenfeld Residenzstr. 129,WE 15 c,334.50,2024-01-05
Shavit Assaf Bornholmerstr. 80,WE28 (n),420.00,2024-01-03
Hans Müller Residenzstr. 129,WE 06,270.00,2024-01-07
Eva Schmidt Bornholmerstr. 80,WE 03 (a),370.00,2024-01-04
Klaus Fischer Bornholmerstr. 80,WE 12,395.00,2024-01-06
Maria Bauer Residenzstr. 129,WE 07,300.00,2024-01-05
Thomas Wagner Bornholmerstr. 80,WE22,400.00,2024-01-03
Petra Hoffmann Bornholmerstr. 80,WE 04,350.00,2024-01-08
Anna Schneider Residenzstr. 129,WE09 - Furnished,320.00,2024-01-05
Dieter Koch Bornholmerstr. 80,WE 31,445.00,2024-01-04
Sabine Richter Residenzstr. 129,WE 11,293.00,2024-01-06
Werner Klein Bornholmerstr. 80,WE17,390.00,2024-01-07
Ingrid Wolf Residenzstr. 129,WE 02,253.00,2024-01-05
Georg Schäfer Bornholmerstr. 80,WE 19 (n),410.00,2024-01-03
Helga Becker Residenzstr. 129,WE08,315.00,2024-01-06
